TOWN,TYPE,2018,2017,2016,2015,2014,2013,2012
Canterbury,EMP,"2,797","2,782","2,719","2,689","2,658","2,624","2,727"
Canterbury,UN,115,131,153,169,205,225,243
Canterbury,RT,3.9,4.5,5.3,5.9,7.2,7.9,8.2
,,,,,,,,
Canton,LF,"5,750","5,703","5,671","5,658","5,639","5,557","5,630"
Canton,EMP,"5,568","5,501","5,451","5,426","5,365","5,227","5,290"
Canton,UN,182,202,220,232,274,330,340
Canton,RT,3.2,3.5,3.9,4.1,4.9,5.9,6.0
,,,,,,,,
Chaplin ,LF,"1,259","1,251","1,251","1,252","1,249","1,232","1,269"
Chaplin ,EMP,"1,201","1,187","1,180","1,174","1,163","1,139","1,157"
Chaplin ,UN,58,64,71,78,86,93,112
Chaplin ,RT,4.6,5.1,5.7,6.2,6.9,7.5,8.8
,,,,,,,,
Cheshire,LF,"15,766","15,667","15,584","15,408","15,373","15,037","15,404"
Cheshire,EMP,"15,297","15,144","15,000","14,801","14,633","14,191","14,398"
Cheshire,UN,469,523,584,607,740,846,"1,006"
Cheshire,RT,3.0,3.3,3.7,3.9,4.8,5.6,6.5
,,,,,,,,
Chester ,LF,"2,354","2,345","2,338","2,316","2,330","2,302","2,299"
Chester ,EMP,"2,285","2,258","2,249","2,226","2,220","2,172","2,143"
Chester ,UN,69,87,89,90,110,130,156
Chester ,RT,2.9,3.7,3.8,3.9,4.7,5.6,6.8
,,,,,,,,
Clinton ,LF,"7,286","7,249","7,225","7,214","7,233","7,139","7,292"
Clinton ,EMP,"7,039","6,958","6,929","6,871","6,832","6,667","6,738"
Clinton ,UN,247,291,296,343,401,472,554
Clinton ,RT,3.4,4.0,4.1,4.8,5.5,6.6,7.6
,,,,,,,,
Colchester,LF,"9,486","9,413","9,408","9,387","9,401","9,254","9,441"
Colchester,EMP,"9,166","9,055","9,002","8,962","8,883","8,652","8,756"
Colchester,UN,320,358,406,425,518,602,685
Colchester,RT,3.4,3.8,4.3,4.5,5.5,6.5,7.3
,,,,,,,,
Colebrook ,LF,832,828,843,851,851,826,845
Colebrook ,EM,792,783,798,809,800,781,793
Colebrook ,UN,40,45,45,42,51,45,52
Colebrook ,RT,4.8,5.4,5.3,4.9,6.0,5.4,6.2
,,,,,,,,
Columbia,LF,"3,263","3,235","3,235","3,229","3,226","3,164","3,229"
Columbia,EMP,"3,151","3,113","3,096","3,071","3,043","2,964","3,007"
Columbia,UN,112,122,139,158,183,200,222
Columbia,RT,3.4,3.8,4.3,4.9,5.7,6.3,6.9
,,,,,,,,
Cornwall,LF,780,764,765,764,760,752,772
Cornwall,EM,758,740,744,737,732,709,728
Cornwall,UN,22,24,21,27,28,43,44
Cornwall,RT,2.8,3.1,2.7,3.5,3.7,5.7,5.7
,,,,,,,,
Coventry ,LF,"7,881","7,822","7,790","7,765","7,720","7,597","7,829"
Coventry ,EMP,"7,615","7,523","7,460","7,399","7,293","7,092","7,196"
Coventry ,UN,266,299,330,366,427,505,633
Coventry ,RT,3.4,3.8,4.2,4.7,5.5,6.6,8.1
,,,,,,,,
Cromwell,LF,"8,011","7,963","7,922","7,933","7,949","7,835","7,952"
Cromwell,EMP,"7,727","7,633","7,575","7,549","7,495","7,327","7,382"
Cromwell,UN,284,330,347,384,454,508,570
Cromwell,RT,3.5,4.1,4.4,4.8,5.7,6.5,7.2
,,,,,,,,
Danbury ,LF,"47,230","47,214","47,315","46,958","46,312","45,392","46,675"
Danbury ,EMP,"45,621","45,356","45,315","44,763","43,847","42,559","43,202"
Danbury ,UN,"1,609","1,858","2,000","2,195","2,465","2,833","3,473"
Danbury ,RT,3.4,3.9,4.2,4.7,5.3,6.2,7.4
,,,,,,,,
Darien ,LF,"8,679","8,617","8,661","8,573","8,498","8,267","8,573"
Darien ,EMP,"8,383","8,299","8,294","8,202","8,068","7,761","7,933"
Darien ,UN,296,318,367,371,430,506,640
Darien ,RT,3.4,3.7,4.2,4.3,5.1,6.1,7.5
,,,,,,,,
Deep River ,LF,"2,880","2,853","2,841","2,842","2,865","2,810","2,856"
Deep River ,EMP,"2,786","2,754","2,734","2,714","2,714","2,649","2,683"
Deep River ,UN,94,99,107,128,151,161,173
Deep River ,RT,3.3,3.5,3.8,4.5,5.3,5.7,6.1
,,,,,,,,
Derby ,LF,"6,752","6,738","6,828","6,812","6,856","6,778","7,094"
Derby ,EMP,"6,402","6,339","6,401","6,352","6,311","6,189","6,416"
Derby ,UN,350,399,427,460,545,589,678
Derby ,RT,5.2,5.9,6.3,6.8,7.9,8.7,9.6
,,,,,,,,
Durham,LF,"4,314","4,279","4,275","4,259","4,273","4,194","4,294"
Durham,EMP,"4,184","4,136","4,126","4,090","4,067","3,961","4,005"
Durham,UN,130,143,149,169,206,233,289
Durham,RT,3.0,3.3,3.5,4.0,4.8,5.6,6.7
,,,,,,,,
East Granby ,LF,"3,107","3,074","3,075","3,057","3,060","3,000","3,029"
East Granby ,EMP,"3,001","2,965","2,943","2,935","2,904","2,826","2,848"
East Granby ,UN,106,109,132,122,156,174,181
East Granby ,RT,3.4,3.5,4.3,4.0,5.1,5.8,6.0
,,,,,,,,
East Haddam ,LF,"5,042","5,030","4,994","5,011","5,014","4,927","5,097"
East Haddam ,EMP,"4,864","4,805","4,759","4,749","4,712","4,596","4,656"
East Haddam ,UN,178,225,235,262,302,331,441
East Haddam ,RT,3.5,4.5,4.7,5.2,6.0,6.7,8.7
,,,,,,,,
East Hampton,LF,"7,787","7,730","7,692","7,639","7,606","7,525","7,712"
East Hampton,EMP,"7,526","7,435","7,358","7,289","7,205","7,032","7,129"
East Hampton,UN,261,295,334,350,401,493,583
East Hampton,RT,3.4,3.8,4.3,4.6,5.3,6.6,7.6
,,,,,,,,
East Hartford ,LF,"27,400","27,206","27,158","27,436","27,500","27,260","28,217"
East Hartford ,EMP,"25,962","25,647","25,402","25,477","25,257","24,656","25,000"
East Hartford ,UN,"1,438","1,559","1,756","1,959","2,243","2,604","3,217"
East Hartford ,RT,5.2,5.7,6.5,7.1,8.2,9.6,11.4
,,,,,,,,
East Haven ,LF,"15,813","15,794","15,715","15,677","15,750","15,598","16,031"
East Haven ,EMP,"15,114","14,963","14,818","14,696","14,591","14,235","14,383"
East Haven ,UN,699,831,897,981,"1,159","1,363","1,648"
East Haven ,RT,4.4,5.3,5.7,6.3,7.4,8.7,10.3
,,,,,,,,
East Lyme ,LF,"8,700","8,682","8,603","8,728","8,604","8,484","8,927"
East Lyme ,EMP,"8,364","8,318","8,187","8,254","8,075","7,879","8,170"
East Lyme ,UN,336,364,416,474,529,605,757
East Lyme ,RT,3.9,4.2,4.8,5.4,6.1,7.1,8.5
,,,,,,,,
East Windsor ,LF,"6,603","6,571","6,494","6,442","6,444","6,312","6,476"
East Windsor ,EMP,"6,315","6,241","6,147","6,085","6,013","5,827","5,869"
East Windsor ,UN,288,330,347,357,431,485,607
East Windsor ,RT,4.4,5.0,5.3,5.5,6.7,7.7,9.4
,,,,,,,,
Eastford ,LF,973,963,949,940,936,910,922
Eastford ,EMP,935,923,912,903,882,847,856
Eastford ,UN,38,40,37,37,54,63,66
Eastford ,RT,3.9,4.2,3.9,3.9,5.8,6.9,7.2
,,,,,,,,
Easton  ,LF,"3,860","3,843","3,848","3,842","3,831","3,777","3,884"
Easton  ,EMP,"3,730","3,693","3,706","3,689","3,649","3,561","3,671"
Easton  ,UN,130,150,142,153,182,216,213
Easton  ,RT,3.4,3.9,3.7,4.0,4.8,5.7,5.5
,,,,,,,,
Ellington ,LF,"9,514","9,437","9,331","9,221","9,078","8,920","9,070"
Ellington ,EMP,"9,176","9,064","8,924","8,761","8,584","8,349","8,462"
Ellington ,UN,338,373,407,460,494,571,608
Ellington ,RT,3.6,4.0,4.4,5.0,5.4,6.4,6.7
,,,,,,,,
Enfield ,LF,"23,412","23,324","23,142","22,790","22,817","22,523","22,887"
Enfield ,EMP,"22,486","22,224","21,860","21,534","21,380","20,808","20,976"
Enfield ,UN,926,"1,100","1,282","1,256","1,437","1,715","1,911"
Enfield ,RT,4.0,4.7,5.5,5.5,6.3,7.6,8.3
,,,,,,,,
Essex ,LF,"3,372","3,353","3,318","3,325","3,313","3,266","3,312"
Essex ,EMP,"3,265","3,227","3,189","3,163","3,138","3,061","3,097"
Essex ,UN,107,126,129,162,175,205,215
Essex ,RT,3.2,3.8,3.9,4.9,5.3,6.3,6.5
,,,,,,,,
Fairfield ,LF,"29,468","29,342","29,143","29,075","28,835","28,360","29,705"
Fairfield ,EMP,"28,400","28,117","27,854","27,653","27,249","26,436","27,240"
Fairfield ,UN,"1,068","1,225","1,289","1,422","1,586","1,924","2,465"
Fairfield ,RT,3.6,4.2,4.4,4.9,5.5,6.8,8.3
,,,,,,,,
Farmington ,LF,"14,312","14,210","14,091","14,076","13,990","13,751","14,018"
Farmington ,EMP,"13,859","13,691","13,557","13,496","13,324","12,957","13,081"
Farmington ,UN,453,519,534,580,666,794,937
Farmington ,RT,3.2,3.7,3.8,4.1,4.8,5.8,6.7
,,,,,,,,
Franklin ,LF,"1,076","1,069","1,069","1,069","1,081","1,067","1,111"
Franklin,EMP,"1,039","1,033","1,017","1,011","1,005",992,"1,031"
Franklin,UN,37,36,52,58,76,75,80
Franklin,RT,3.4,3.4,4.9,5.4,7.0,7.0,7.2
,,,,,,,,
Glastonbury,LF,"19,124","18,977","18,899","18,846","18,771","18,440","18,777"
Glastonbury,EMP,"18,585","18,360","18,219","18,112","17,920","17,445","17,629"
Glastonbury,UN,539,617,680,734,851,995,"1,148"
Glastonbury,RT,2.8,3.3,3.6,3.9,4.5,5.4,6.1
,,,,,,,,
Goshen,LF,"1,661","1,630","1,647","1,637","1,628","1,588","1,670"
Goshen,EM,"1,612","1,571","1,578","1,561","1,545","1,496","1,553"
Goshen,UN,49,59,69,76,83,92,117
Goshen,RT,3.0,3.6,4.2,4.6,5.1,5.8,7.0
,,,,,,,,
Granby,LF,"6,880","6,823","6,737","6,752","6,709","6,581","6,719"
Granby,EMP,"6,681","6,600","6,483","6,457","6,382","6,217","6,296"
Granby,UN,199,223,254,295,327,364,423
Granby,RT,2.9,3.3,3.8,4.4,4.9,5.5,6.3
,,,,,,,,
Greenwich,LF,"28,879","28,777","28,773","28,639","28,446","28,044","29,072"
Greenwich,EMP,"27,989","27,711","27,655","27,442","27,080","26,396","27,191"
Greenwich,UN,890,"1,066","1,118","1,197","1,366","1,648","1,881"
Greenwich,RT,3.1,3.7,3.9,4.2,4.8,5.9,6.5
,,,,,,,,
Griswold ,LF,"6,330","6,344","6,297","6,314","6,345","6,374","6,664"
Griswold ,EMP,"6,044","6,010","5,901","5,863","5,839","5,779","6,006"
Griswold ,UN,286,334,396,451,506,595,658
Griswold ,RT,4.5,5.3,6.3,7.1,8.0,9.3,9.9
,,,,,,,,
Groton ,LF,"18,474","18,477","18,297","18,369","18,495","18,571","19,438"
Groton ,EMP,"17,832","17,733","17,446","17,361","17,372","17,134","17,808"
Groton ,UN,642,744,851,"1,008","1,123","1,437","1,630"
Groton ,RT,3.5,4.0,4.7,5.5,6.1,7.7,8.4
,,,,,,,,
Guilford ,LF,"12,963","12,868","12,831","12,765","12,763","12,548","12,715"
Guilford ,EMP,"12,593","12,467","12,365","12,249","12,149","11,824","11,921"
Guilford ,UN,370,401,466,516,614,724,794
Guilford ,RT,2.9,3.1,3.6,4.0,4.8,5.8,6.2
,,,,,,,,
Haddam ,LF,"5,107","5,070","5,033","5,041","5,037","4,958","5,092"
Haddam ,EMP,"4,949","4,889","4,848","4,825","4,787","4,674","4,729"
Haddam ,UN,158,181,185,216,250,284,363
Haddam ,RT,3.1,3.6,3.7,4.3,5.0,5.7,7.1
,,,,,,,,
Hamden,LF,"35,506","35,347","35,117","34,929","34,964","34,536","35,585"
Hamden,EMP,"34,157","33,816","33,460","33,088","32,837","32,049","32,410"
Hamden,UN,"1,349","1,531","1,657","1,841","2,127","2,487","3,175"
Hamden,RT,3.8,4.3,4.7,5.3,6.1,7.2,8.9
,,,,,,,,
Hampton,LF,"1,039","1,035","1,024","1,026","1,021","1,019","1,057"
Hampton,EMP,999,986,974,971,962,928,939
Hampton,UN,40,49,50,55,59,91,118
Hampton,RT,3.8,4.7,4.9,5.4,5.8,8.9,11.2
,,,,,,,,
Hartford ,LF,"53,353","53,391","53,489","53,875","54,307","54,248","56,130"
Hartford ,EMP,"49,619","49,019","48,567","48,447","48,102","46,922","47,581"
Hartford ,UN,"3,734","4,372","4,922","5,428","6,205","7,326","8,549"
Hartford ,RT,7.0,8.2,9.2,10.1,11.4,13.5,15.2
,,,,,,,,
Hartland ,LF,"1,154","1,144","1,143","1,147","1,142","1,116","1,128"
Hartland ,EMP,"1,114","1,100","1,095","1,090","1,077","1,049","1,064"
Hartland ,UN,40,44,48,57,65,67,64
Hartland ,RT,3.5,3.8,4.2,5.0,5.7,6.0,5.7
,,,,,,,,
Harwinton ,LF,"3,243","3,199","3,214","3,198","3,203","3,170","3,274"
Harwinton ,EMP,"3,126","3,083","3,077","3,058","3,037","2,985","3,032"
Harwinton ,UN,117,116,137,140,166,185,242
Harwinton ,RT,3.6,3.6,4.3,4.4,5.2,5.8,7.4
,,,,,,,,
Hebron ,LF,"5,567","5,532","5,505","5,489","5,484","5,382","5,519"
Hebron ,EMP,"5,394","5,329","5,298","5,266","5,204","5,077","5,166"
Hebron ,UN,173,203,207,223,280,305,353
Hebron ,RT,3.1,3.7,3.8,4.1,5.1,5.7,6.4
,,,,,,,,
Kent ,LF,"1,517","1,497","1,507","1,519","1,523","1,485","1,562"
Kent ,EM,"1,473","1,436","1,451","1,455","1,455","1,408","1,463"
Kent ,UN,44,61,56,64,68,77,99
Kent ,RT,2.9,4.1,3.7,4.2,4.5,5.2,6.3
,,,,,,,,
Killingly ,LF,"9,622","9,571","9,516","9,500","9,493","9,380","9,744"
Killingly ,EMP,"9,176","9,084","8,955","8,840","8,766","8,523","8,709"
Killingly ,UN,446,487,561,660,727,857,"1,035"
Killingly ,RT,4.6,5.1,5.9,6.9,7.7,9.1,10.6
,,,,,,,,
Killingworth,LF,"3,819","3,787","3,802","3,782","3,780","3,718","3,798"
Killingworth,EMP,"3,717","3,674","3,668","3,633","3,610","3,509","3,546"
Killingworth,UN,102,113,134,149,170,209,252
Killingworth,RT,2.7,3.0,3.5,3.9,4.5,5.6,6.6
,,,,,,,,
Lebanon,LF,"4,096","4,081","4,054","4,060","4,076","4,019","4,155"
Lebanon,EMP,"3,939","3,891","3,854","3,854","3,831","3,733","3,790"
Lebanon,UN,157,190,200,206,245,286,365
Lebanon,RT,3.8,4.7,4.9,5.1,6.0,7.1,8.8
,,,,,,,,
Ledyard ,LF,"8,020","8,010","7,926","7,936","7,942","7,954","8,294"
Ledyard ,EMP,"7,752","7,709","7,586","7,524","7,487","7,370","7,637"
Ledyard ,UN,268,301,340,412,455,584,657
Ledyard ,RT,3.3,3.8,4.3,5.2,5.7,7.3,7.9
,,,,,,,,
Lisbon ,LF,"2,360","2,373","2,345","2,338","2,353","2,328","2,480"
Lisbon ,EMP,"2,265","2,253","2,210","2,189","2,181","2,154","2,236"
Lisbon ,UN,95,120,135,149,172,174,244
Lisbon ,RT,4.0,5.1,5.8,6.4,7.3,7.5,9.8
,,,,,,,,
Litchfield,LF,"4,851","4,764","4,791","4,754","4,758","4,638","4,840"
Litchfield,EM,"4,700","4,582","4,598","4,550","4,517","4,364","4,533"
Litchfield,UN,151,182,193,204,241,274,307
Litchfield,RT,3.1,3.8,4.0,4.3,5.1,5.9,6.3
,,,,,,,,
Lyme ,LF,"1,225","1,223","1,199","1,197","1,203","1,201","1,243"
Lyme ,EMP,"1,186","1,180","1,155","1,147","1,140","1,130","1,175"
Lyme ,UN,39,43,44,50,63,71,68
Lyme ,RT,3.2,3.5,3.7,4.2,5.2,5.9,5.5
,,,,,,,,
Madison ,LF,"9,127","9,078","9,018","8,966","8,973","8,832","8,996"
Madison ,EMP,"8,850","8,762","8,671","8,596","8,518","8,307","8,379"
Madison ,UN,277,316,347,370,455,525,617
Madison ,RT,3.0,3.5,3.8,4.1,5.1,5.9,6.9
,,,,,,,,
Manchester,LF,"33,188","32,947","32,819","32,760","32,743","32,304","33,347"
Manchester,EMP,"31,829","31,444","31,163","30,967","30,624","29,853","30,259"
Manchester,UN,"1,359","1,503","1,656","1,793","2,119","2,451","3,088"
Manchester,RT,4.1,4.6,5.0,5.5,6.5,7.6,9.3
,,,,,,,,
Mansfield ,LF,"12,720","12,614","12,638","12,617","12,561","12,344","12,796"
Mansfield ,EMP,"12,238","12,090","12,020","11,951","11,769","11,362","11,534"
Mansfield ,UN,482,524,618,666,792,982,"1,262"
Mansfield ,RT,3.8,4.2,4.9,5.3,6.3,8.0,9.9
,,,,,,,,
Marlborough ,LF,"3,628","3,595","3,589","3,596","3,581","3,502","3,583"
Marlborough ,EMP,"3,511","3,468","3,444","3,429","3,386","3,295","3,335"
Marlborough ,UN,117,127,145,167,195,207,248
Marlborough ,RT,3.2,3.5,4.0,4.6,5.4,5.9,6.9
,,,,,,,,
Meriden ,LF,"32,135","32,091","31,872","31,969","32,221","31,905","32,569"
Meriden ,EMP,"30,599","30,293","29,899","29,704","29,529","28,812","29,136"
Meriden ,UN,"1,536","1,798","1,973","2,265","2,692","3,093","3,433"
Meriden ,RT,4.8,5.6,6.2,7.1,8.4,9.7,10.5
,,,,,,,,
Middlebury,LF,"3,968","3,943","3,889","3,857","3,825","3,756","3,861"
Middlebury,EMP,"3,833","3,776","3,720","3,680","3,625","3,522","3,579"
Middlebury,UN,135,167,169,177,200,234,282
Middlebury,RT,3.4,4.2,4.3,4.6,5.2,6.2,7.3
,,,,,,,,
Middlefield ,LF,"2,520","2,504","2,514","2,487","2,494","2,437","2,497"
Middlefield ,EMP,"2,438","2,410","2,397","2,372","2,353","2,287","2,306"
Middlefield ,UN,82,94,117,115,141,150,191
Middlefield ,RT,3.3,3.8,4.7,4.6,5.7,6.2,7.6
,,,,,,,,
Middletown ,LF,"26,265","26,121","26,078","26,146","26,201","25,995","26,594"
Middletown ,EMP,"25,218","24,913","24,750","24,649","24,485","23,972","24,313"
Middletown ,UN,"1,047","1,208","1,328","1,497","1,716","2,023","2,281"
Middletown ,RT,4.0,4.6,5.1,5.7,6.5,7.8,8.6
,,,,,,,,
Milford,LF,"30,459","30,320","30,351","29,830","29,639","29,249","30,436"
Milford,EMP,"29,314","29,022","28,951","28,329","27,872","27,148","27,971"
Milford,UN,"1,145","1,298","1,400","1,501","1,767","2,101","2,465"
Milford,RT,3.8,4.3,4.6,5.0,6.0,7.2,8.1
,,,,,,,,
Monroe ,LF,"10,109","10,112","10,179","10,201","10,190","10,001","10,486"
Monroe ,EMP,"9,736","9,639","9,708","9,666","9,568","9,343","9,632"
Monroe ,UN,373,473,471,535,622,658,854
Monroe ,RT,3.7,4.7,4.6,5.2,6.1,6.6,8.1
,,,,,,,,
Montville ,LF,"9,392","9,384","9,278","9,317","9,400","9,430","9,870"
Montville ,EMP,"9,003","8,953","8,804","8,741","8,750","8,662","8,977"
Montville ,UN,389,431,474,576,650,768,893
Montville ,RT,4.1,4.6,5.1,6.2,6.9,8.1,9.0
,,,,,,,,
Morris,LF,"1,445","1,411","1,419","1,414","1,421","1,390","1,461"
Morris,EM,"1,395","1,360","1,365","1,353","1,346","1,308","1,360"
Morris,UN,50,51,54,61,75,82,101
Morris,RT,3.5,3.6,3.8,4.3,5.3,5.9,6.9
,,,,,,,,
